PROVINCIA;VOTOS_P1;VOTOS_P2
AREQUIPA;187;56
AREQUIPA;143;82
AREQUIPA;150;83
AREQUIPA;140;90
AREQUIPA;150;89
AREQUIPA;187;54
AREQUIPA;190;76
AREQUIPA;113;128
AREQUIPA;133;99
AREQUIPA;165;85
AREQUIPA;178;53
AREQUIPA;155;85
AREQUIPA;201;34
AREQUIPA;147;89
AREQUIPA;123;80
AREQUIPA;157;85
AREQUIPA;172;52
AREQUIPA;178;58
AREQUIPA;103;121
AREQUIPA;113;95
AREQUIPA;156;81
AREQUIPA;180;60
AREQUIPA;160;75
AREQUIPA;169;65
AREQUIPA;117;65
AREQUIPA;169;78
AREQUIPA;144;65
AREQUIPA;155;73
AREQUIPA;96;83
AREQUIPA;144;90
AREQUIPA;120;103
AREQUIPA;188;56
AREQUIPA;183;59
AREQUIPA;138;69
AREQUIPA;129;58
AREQUIPA;113;82
AREQUIPA;148;89
AREQUIPA;132;101
AREQUIPA;183;57
AREQUIPA;136;89
AREQUIPA;184;60
AREQUIPA;167;75
AREQUIPA;119;32
AREQUIPA;171;71
AREQUIPA;155;92
AREQUIPA;69;14
AREQUIPA;107;34
AREQUIPA;170;79
AREQUIPA;162;71
AREQUIPA;190;49
AREQUIPA;183;74
AREQUIPA;176;49
AREQUIPA;171;73
AREQUIPA;175;65
AREQUIPA;80;52
AREQUIPA;228;40
AREQUIPA;144;82
AREQUIPA;172;70
AREQUIPA;192;43
AREQUIPA;203;36
AREQUIPA;151;92
AREQUIPA;163;70
AREQUIPA;107;157
AREQUIPA;178;53
AREQUIPA;193;47
AREQUIPA;158;86
AREQUIPA;176;77
AREQUIPA;89;169
AREQUIPA;145;76
AREQUIPA;147;67
AREQUIPA;104;43
AREQUIPA;91;47
AREQUIPA;197;38
AREQUIPA;152;63
AREQUIPA;16;26
AREQUIPA;182;48
AREQUIPA;196;45
AREQUIPA;173;65
AREQUIPA;162;60
CAYLLOMA;190;33
CAMANA;84;115
CAMANA;128;88
AREQUIPA;97;139
CAYLLOMA;122;16
CAYLLOMA;133;12
CAYLLOMA;189;27
CAMANA;93;115
CAMANA;73;116
AREQUIPA;114;96
CAYLLOMA;195;18
CAMANA;117;87
CAMANA;100;109
CAMANA;123;96
CAMANA;152;80
AREQUIPA;188;55
AREQUIPA;82;140
AREQUIPA;110;130
CAYLLOMA;173;38
CAMANA;177;46
AREQUIPA;133;93
CAMANA;143;95
CAMANA;148;76
CAYLLOMA;218;19
AREQUIPA;91;124
AREQUIPA;102;119
AREQUIPA;137;90
CAMANA;116;91
CAMANA;116;105
AREQUIPA;96;124
